State,Latitude,Longitude,Year,Data.Population,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery
Alabama,32.806671,-86.79113,1999,4369862,171398,38648,119616,13134,21421,14266,345,1513,5297
Alabama,32.806671,-86.79113,2000,4447100,180539,40331,127399,12809,21620,14107,329,1482,5702
Alabama,32.806671,-86.79113,2001,4468912,173253,40642,119992,12619,19582,12250,379,1369,5584
Alabama,32.806671,-86.79113,2002,4478896,180400,42578,123932,13890,19931,12002,303,1664,5962
Alabama,32.806671,-86.79113,2003,4503726,182241,43245,124039,14957,19331,11338,299,1656,6038
Alabama,32.806671,-86.79113,2004,4525375,182340,44666,123650,14024,19324,11286,254,1742,6042
Alabama,32.806671,-86.79113,2005,4548327,177393,43473,120780,13140,19678,11293,374,1564,6447
Alabama,32.806671,-86.79113,2006,4599030,181249,44780,121451,15018,19553,10463,382,1646,7062
Alabama,32.806671,-86.79113,2007,4627851,184082,45379,124465,14238,20775,11417,412,1548,7398
Alabama,32.806671,-86.79113,2008,4661900,190416,50411,126539,13466,21110,11795,351,1618,7346
Alabama,32.806671,-86.79113,2009,4708708,178007,48844,118072,11091,21194,13103,322,1504,6265
Alabama,32.806671,-86.79113,2010,4785401,168828,42484,115564,10780,18363,11869,275,1355,4864
Alabama,32.806671,-86.79113,2011,4803689,173192,51119,111411,10662,20166,13591,299,1370,4906
Alabama,32.806671,-86.79113,2012,4822023,168878,47481,111523,9874,21693,15035,342,1296,5020
Alabama,32.806671,-86.79113,2013,4833722,161993,42429,108993,10571,20826,13787,347,2044,4648
Alabama,32.806671,-86.79113,2014,4849377,154094,39715,104238,10141,20727,13745,276,2005,4701
Alabama,32.806671,-86.79113,2015,4858979,144746,35255,99156,10335,22952,15954,348,2039,4611
Alabama,32.806671,-86.79113,2016,4863300,143362,34065,97574,11723,25886,18877,407,1916,4686
